lat,lon,name,accesslevel,wheelchair
51.0210195,13.7649705,Corinthstraße,2,yes
51.0387577,13.6365797,Rudolf-Walther-Straße,2,yes
51.0957675,13.6592718,Altserkowitz,0,unknown
50.9672183,13.8083001,Röhrsdorf,0,unknown
50.989591,13.8110241,Dresden Altlockwitz,1,limited
50.9898054,13.8111399,Dresden Altlockwitz,1,limited
50.9923744,13.8070924,Dresden Urnenstraße,-1,no
50.994806,13.797863,Michaelisstraße,0,unknown
50.9949081,13.7979764,Michaelisstraße,0,unknown
50.9927046,13.7980975,Nickerner Weg,-1,no
50.9927909,13.79851,Nickerner Weg,-1,no
50.9905121,13.7950608,Helena-Rott-Straße,1,limited
50.9902768,13.7949795,Helena-Rott-Straße,1,limited
51.0198275,13.8114216,Lassallestraße,1,limited
51.0198874,13.812887,Lassallestraße,1,limited
51.0186867,13.8107059,Altdobritz,0,unknown
51.0187932,13.8106233,Altdobritz,0,unknown
51.0370595,13.8076808,Schaufußstraße,-1,no
51.0368741,13.8085305,Schaufußstraße,-1,no
51.0354306,13.8119597,Berggießhübler Straße,-1,no
51.0339894,13.8160706,Lengefelder Straße,0,unknown
51.0335605,13.8168448,Lengefelder Straße,0,unknown
51.0320488,13.8213272,Kipsdorfer Straße,0,unknown
51.0317851,13.8212766,Kipsdorfer Straße,0,unknown
51.0284793,13.812204,Knappestraße,0,unknown
51.0287547,13.8134663,Knappestraße,0,unknown
51.031148,13.8180877,Wilischstraße,0,unknown
51.030961,13.8178193,Wilischstraße,0,unknown
51.0252901,13.8052569,Marienberger Straße,2,yes
51.0258646,13.8055835,Marienberger Straße,-1,no
51.0224247,13.8039384,Bergfelderweg,0,unknown
51.0223749,13.8041226,Bergfelderweg,0,unknown
51.027713,13.80837,Liebenauer Straße,0,unknown
51.027847,13.8088306,Liebenauer Straße,0,unknown
50.9920736,13.8069359,Dresden Urnenstraße,1,limited
50.989734,13.8115694,Dresden Altlockwitz,-1,no
50.9897303,13.8114214,Dresden Altlockwitz,-1,no
50.9980499,13.79943,"Prohlis, Einkaufszentrum",2,yes
51.0338575,13.7123122,"Dresden, Bamberger Straße",2,yes
51.0342559,13.7125544,"Dresden, Bamberger Straße",1,limited
